000001,平安银行,银行
000002,万科A,房地产
000004,*ST国华,计算机
000005,ST星源,环保
000006,深振业Ａ,房地产
000007,全新好,商贸零售
000008,神州高铁,机械设备
000009,中国宝安,电力设备
600001,邯郸钢铁,黑色金属
600002,齐鲁石化,化工
600003,ST东北高,交通运输
600004,白云机场,交通运输
600005,武钢股份,钢铁
600006,东风股份,汽车
600007,中国国贸,房地产
600009,上海机场,交通运输
000010,美丽生态,建筑装饰
000011,深物业A,房地产
000012,南玻A,建筑材料
000014,沙河股份,房地产
000016,深康佳Ａ,家用电器
000017,深中华A,纺织服饰
000018,神城A退,建筑装饰
000019,深粮控股,农林牧渔
000020,深华发Ａ,电子
000021,深科技,电子
000023,*ST深天,建筑材料
000024,招商地产,房地产
600010,包钢股份,钢铁
600011,华能国际,公用事业
600012,皖通高速,交通运输
600015,华夏银行,银行
600016,民生银行,银行
600017,日照港,交通运输
600018,上港集团,交通运输
600019,宝钢股份,钢铁
600020,中原高速,交通运输
600021,上海电力,公用事业
600022,山东钢铁,钢铁
600023,浙能电力,公用事业
300010,豆神教育,社会服务
300011,鼎汉技术,机械设备
300012,华测检测,社会服务
300013,新宁物流,交通运输
300014,亿纬锂能,电力设备
300015,爱尔眼科,医药生物
300016,北陆药业,医药生物
300017,网宿科技,计算机
300018,中元股份,电力设备
300019,硅宝科技,基础化工
300020,ST银江,计算机
300021,大禹节水,农林牧渔
300022,吉峰科技,商贸零售
300023,宝德退,非银金融
300024,机器人,机械设备
688010,福光股份,电子
688011,新光光电,国防军工
688013,天臣医疗,医药生物
688015,交控科技,机械设备
688016,心脉医疗,医药生物
688017,绿的谐波,机械设备
688018,乐鑫科技,电子
688019,安集科技,电子
688021,奥福科技,汽车
688022,瀚川智能,机械设备
688023,安恒信息,计算机
000026,飞亚达,纺织服饰
000027,深圳能源,公用事业
000028,国药一致,医药生物
000029,深深房Ａ,房地产
000030,富奥股份,汽车
000031,大悦城,房地产
600026,中远海能,交通运输
600027,华电国际,公用事业
600028,中国石化,石油石化
600029,南方航空,交通运输
600030,中信证券,非银金融
600031,三一重工,机械设备
000032,深桑达Ａ,建筑装饰
000033,新都退,休闲服务
000034,神州数码,计算机
000035,中国天楹,环保
000036,华联控股,房地产
000037,深南电A,公用事业
000038,大通退,综合
000039,中集集团,机械设备
000040,*ST旭蓝,公用事业
000042,中洲控股,房地产
000045,深纺织Ａ,电子
000046,*ST泛海,房地产
000048,京基智农,房地产
000049,德赛电池,电力设备
600032,浙江新能,公用事业
600033,福建高速,交通运输
600035,楚天高速,交通运输
600036,招商银行,银行
600037,歌华有线,传媒
600038,中直股份,国防军工
600039,四川路桥,建筑装饰
600048,保利发展,房地产
300032,金龙机电,电子
300033,同花顺,计算机
300034,钢研高纳,国防军工
300035,中科电气,电力设备
300036,超图软件,计算机
300037,新宙邦,电力设备
300038,数知退,传媒
300039,上海凯宝,医药生物
300040,九洲集团,公用事业
300041,回天新材,基础化工
300042,朗科科技,计算机
300043,星辉娱乐,传媒
300044,ST赛为,计算机
300045,华力创通,国防军工
300046,台基股份,电子
300047,天源迪科,计算机
300048,合康新能,机械设备
300049,福瑞股份,医药生物
